material,rookOpenFiles,semiOpenFiles,centerControl,pawnShield,bishopPair,battery,doublePawnPenalty,kingTropism,doubleCheck,fork,pin,trappedPiece,val
-1,0.35,0,0,0,-0.016666666666666607,0.6500000000000001,-0.85,0,0,0,0,-0.4000000000000001,-4.93
-3.79999999999709,0,0,-0.15,0,-0.18333333333333335,1.3499999999999999,0,-0.06,0,0,0,0,-5.38
2.9105606813573104e-12,0,0,0,0,-0.25,-0.2,0,0,0,0,0,0,-4.06
21.000000000005826,0,-0.2,0,0.15,-0.08333333333333331,-0.55,0.15,-0.019999999999999997,0,0,0,-0.4000000000000001,3.43
-2.5,0,0,0,0,0.05,-0.04999999999999999,0,0,0,0,0,0.2,0.36
28.00000000000291,0,0,-0.15,0,-0.033333333333333354,0.8999999999999999,0,0,0,0,0,-0.2,9.51
4.69999999999709,0,0,0,0,-0.3,0.45,-0.15,0,0,0,0,-0.2,-5.87
1.0000000000029106,0,0,-0.3,0,-0.016666666666666663,-0.04999999999999999,0.35,-0.06,0,0,0,0,5.55
2.9105606813573104e-12,0,0,-0.15,0,0.033333333333333326,0.29999999999999993,0,0,0,0,0,0.20000000000000007,-1.73
2.9105606813573104e-12,0,0,0.15,0,-0.25,0.20000000000000007,0,0,0,0,0,0.2,-3.99
-2.3000000000029104,0,0,0,0,-0.23333333333333334,0.8,0.15,-0.020000000000000004,0,0,0,0,-2.31
-4.800000000000001,0,0,-0.15,0,-0.19999999999999998,-0.19999999999999996,-0.44999999999999996,0,0,0,0.3,0,4.89
-1.4999999999970894,0,0,0.3,0,0.13333333333333341,0.8500000000000001,-0.15,0,0,0,-0.3,-0.6000000000000001,-3.63
-4,0,0,0.15,0,0.11666666666666664,-0.7,0,-0.12,0,-0.4,0,-0.8,-0.75
2.9096725029376103e-12,0,0,0,0,5.551115123125783e-17,0.20000000000000007,0,0.06,0,0,0,-0.4,-1.64
21,0,-0.2,0.3,0,-0.016666666666666663,0.75,0.3,0,0,0,0,0,5.32
0.19999999999708962,0.35,0.2,0,0,-0.09999999999999998,0.04999999999999999,-0.44999999999999996,0.010000000000000002,0,0,0,0,-2.59
-4.3653969328261155e-12,0,0,-0.15,0,0,-0.2,-0.15,0,0,0,0,-0.4,-3.29
2,0,-0.2,0,0,-0.1333333333333333,5.551115123125783e-17,0.35,0.18,0,0,0,0.20000000000000007,-5.03
18.999999999992724,0,0.4,-0.15,-0.14999999999999997,0.01666666666666672,0.09999999999999998,0.3,-0.16,0,0,0,0,-5.72
-4.499999999997089,0.35,0,0,-0.14999999999999997,0.25,-0.2,-0.19999999999999998,0.019999999999999997,0,0,0,0.4,-4.93
-0.9999999999970894,0.35,0,0.15,0,-0.16666666666666666,0.6500000000000001,-0.3,0,0,0,0,0,-2.53
-1.0000000000043654,-0.35,0,0.15,0,0.26666666666666666,0.6500000000000001,0.8,-0.15,0,0,0,0,-4.92
-0.9999999999970894,0,0,0.15,0,-0.016666666666666635,-0.04999999999999999,0.6,-0.16,0,0,-0.3,-0.4000000000000001,-3.47
-3.5,0,0,-0.15,0,0.21666666666666665,-0.04999999999999999,-0.15,0.12,0,0,0,-0.20000000000000007,3.27
-17.5,0,0.2,-0.3,0,-0.30000000000000004,0.25,-0.15,0.12,0,0,0,-0.4,-6.54
2.9105606813573104e-12,0,0,0.15,0,0.06666666666666665,0.4500000000000001,0,0.13,0,0,0,0,2.23
2.9105606813573104e-12,0,0,0.15,0,-0.21666666666666667,0.29999999999999993,0,0,0,0,0,0,-4.65
2.5000000000029097,0,0,0,0,-0.26666666666666666,0.4000000000000001,0.15,0,0,0,0,-0.2,-4.66
-7.275957614183426e-12,0,0,0.15,0,-0.033333333333333354,0.4000000000000001,0,0,0,0,0,-0.8,-2.08
0,0,0,-0.15,0,-0.033333333333333354,0.20000000000000007,0,-0.03,0,0,0,0,-1.82
-29.5,0,0,-0.15,-0.29999999999999993,0.13333333333333336,-0.04999999999999999,-0.35,-0.19000000000000003,0,0,-0.3,-0.2,-11.01
2.0000000000029097,0,-0.2,-0.15,0,-0.1,-0.25,0,0,0,0,0,0,-6.02
-2.4999999999970894,0,0,0.15,0,0.15000000000000002,-0.8999999999999999,0,-0.06,0,0,0,0.2,0.46
20,0,0,0.15,0,0.21666666666666667,0.6500000000000001,0,0,0,0,0,0,3.88
-10.8,0,0,-0.15,0,-0.11666666666666664,-0.2,0,0,0,0,0,0.4000000000000001,4.26
1.1999999999970896,0,0,0.15,0,-0.2,1.05,0,-0.06,0,0,0,0.20000000000000007,2.69
-2,-0.35,0.2,-0.3,0,-0.24999999999999994,-0.7,-1,0.09,0,0,0,-0.6000000000000001,3.33
2.0000000000029097,0,0,0.3,0,0.1833333333333333,0.49999999999999994,0,-0.24,0,0,0,-0.3999999999999999,-7.97
6.899999999997089,0,0.2,0.3,0,-0.2666666666666666,0,-0.5,0,0,0,0,0,-8.96
-1,0,0,0,0,0.11666666666666664,0.2500000000000001,-0.15,0,0,0,0,-0.2,-1.8
-20.49999999999709,0,0.2,0,0.14999999999999997,-0.06666666666666668,-0.25,0.35,0.03,0,0,0,0,5.92
1.0000000000058202,0,0,0.3,0.14999999999999997,-0.016666666666666663,0.2,-0.3,0.03,0,0,0,0.20000000000000007,-2.81
-18.99999999999709,0,-0.2,0,0,0.3,-0.5,0.44999999999999996,-0.06999999999999999,0,0,0,0.2,-6.83
-1,0,-0.2,0.3,0,0.30000000000000004,0.4000000000000001,-0.3,0,0,0,0,0,-4.94
